NU_INSCRICAO,NU_ANO,co_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,IN_ESTUDA_CLASSE_HOSPITALAR,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,co_UF_ESC,SG_UF_ESC,ID_DEPENDENCIA_ADM_ESC,ID_LOCALIZACAO_ESC,SIT_FUNC_ESC,NU_IDADE,TP_SEXO,NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,IN_TP_ENSINO,TP_ESTADO_CIVIL,TP_COR_RACA,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_AUTISMO,IN_SABATISTA,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_CERTIFICADO,NO_ENTIDADE_CERTIFICACAO,co_UF_ENTIDADE_CERTIFICACAO,SG_UF_ENTIDADE_CERTIFICACAO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,IN_PRESENCA_CN,IN_PRESENCA_CH,IN_PRESENCA_LC,IN_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,GABARITO_CN,GABARITO_CH,GABARITO_LC,GABARITO_MT,IN_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q029,Q030,Q031,Q032,Q033,Q034,Q035,Q036,Q037,Q038,Q039,Q040,Q041,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050,Q051,Q052,Q053,Q054,Q055,Q056,Q057,Q058,Q059,Q060,Q061,Q062,Q063,Q064,Q065,Q066,Q067,Q068,Q069,Q070,Q071,Q072,Q073,Q074,Q075,Q076
140003361512,2014,4308904,GETULIO VARGAS,43,RS,0,,,,,,,,,19,F,1,4308904,GETULIO VARGAS,43,RS,1,2013,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4308904,GETULIO VARGAS,43,RS,0,0,0,0,199,195,203,207,,,,,.............................................,.............................................,.............................................,.............................................,0,,,,,6,0,0,0,0,0,0,B,B,B,2,B,A,A,D,A,D,A,A,A,A,A,A,D,D,D,D,A,A,4,4,,5,5,5,5,C,A,A,C,A,A,A,A,B,A,15,D,5,4,4,5,5,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,
140006145921,2014,2505105,CUITE,25,PB,0,,,,,,,,,18,M,1,2510105,NOVA FLORESTA,25,PB,3,,,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,INSTITUTO FEDERAL DA PARAÍBA - CAMPUS PICUÍ,25,PB,2505105,CUITE,25,PB,1,1,1,1,202,198,205,209,418.30,610.40,354.80,329.00,AAEADCDBEDBCEAAABDBEADDCECCDBEEBEABEAADCECCDC,AEBBAAADEAEBADAABDDAAEEEBECAAADDCEDACCDDCBACE,DCECACCAAADEBCEEBECEBCADABAAECECDABCCAEEBCEAC,DEDBBCECBCDBBBADCCBACBDBACEDEEEECBDBBDDCECACC,0,AEABEDEABEBCBEECCBDEDEADADBDCDCDABCDDAABDBCBD,AABBEAADEADBABCEDBDADDEECECCEADECBDBACBCABCCE,ACACDDAAECBEBCDADDDCBBCBEDBCABDEBDCDACAEBECCBCCDAB,ECBDCDADEAEADBEDBBDAEAECCBCBBCCEDDDCCECAABABD,7,80,100,80,80,60,400,I,B,D,7,A,B,A,A,A,D,D,A,A,D,D,A,A,D,D,D,B,C,5,5,,5,2,5,5,C,A,A,F,A,A,A,A,A,A,,,,,,,,,,,,,,,A,A,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,C
140006083117,2014,3528403,MAIRINQUE,35,SP,0,,,,,,,,,23,M,1,4111506,IVAIPORA,41,PR,1,2010,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3528403,MAIRINQUE,35,SP,0,0,0,0,199,195,203,207,,,,,.............................................,.............................................,.............................................,.............................................,0,,,,,6,0,0,0,0,0,0,C,C,F,3,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,D,A,C,3,3,,3,5,5,3,B,,,B,,,A,A,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140004638145,2014,4113700,LONDRINA,41,PR,0,,,,,,,,,16,F,1,4113700,LONDRINA,41,PR,3,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4113700,LONDRINA,41,PR,1,1,1,1,201,197,204,208,504.20,555.70,568.80,521.80,ADEDEBCEEDCAADCCDCBDBABABDEEEEBCBEAEABDBDABCA,ADDCECAACADADEBCCEAAABAEBDAABADADEBCBDCABCEEB,ABCBEEDADDDCEDAABDBCBAAECBCADDCEBCBCDCDDCDCAC,CACCDDBCADBBBDBBDDCBAADEABDBBCBCADECEBEDBDBCB,1,EDEADBCBDADBDCDCDABABEADECBEBCBDCBEABCDAEEDDA,ADECECBCCECAABBEBCABDBAECCEDEBDADCEDADBABAADE,ACACDDECAABDADDDCDCDABEBCBCBECACAEBDEBABEDBCDCBCBC,CECACBCABABDBDADCDAEAECBBCAEADBEDBECBDECEDDDC,7,120,120,120,120,120,600,I,I,E,5,A,B,B,B,B,C,A,A,A,D,B,C,A,D,A,D,B,C,5,3,,5,1,1,1,B,,,F,,,A,B,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140007663660,2014,5300108,BRASILIA,53,DF,0,,,,,,,,,25,M,1,5300108,BRASILIA,53,DF,1,2011,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5300108,BRASILIA,53,DF,1,1,1,1,199,195,204,208,517.50,531.40,464.80,369.70,DABDDACBECD*CBAEABDEBEACADAADBCBDEAEEEBACACCB,ECACABABBCCEDAACAACCACCAADAEBDEDCCADCDDBADBBC,DCABECEABBAADEAABEBEBBBBDBBCDACDBABCECABEABDD,DCEEDEBBCDCBCDACBCEAAAAEECBABBBABACCCDDDBABCB,1,ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC,ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA,ACACDDECAABDADDDCDCDABEBCBCBECACAEBDEBABEDBCDCBCBC,CECACBCABABDBDADCDAEAECBBCAEADBEDBECBDECEDDDC,7,120,40,40,100,40,340,I,C,B,1,C,B,A,D,D,D,D,A,A,D,D,A,D,D,D,D,A,A,4,4,,4,4,4,4,B,A,A,B,A,A,A,A,A,A,18,E,0,0,5,5,5,B,B,A,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,
140006684201,2014,1500859,ANAPU,15,PA,0,,,,,,,,,18,F,1,1500859,ANAPU,15,PA,3,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,INSTITUTO FEDERAL DO PARÁ - CAMPUS ALTAMIRA,15,PA,1500602,ALTAMIRA,15,PA,0,0,0,0,199,195,203,207,,,,,.............................................,.............................................,.............................................,.............................................,1,,,,,6,0,0,0,0,0,0,A,B,A,4,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,5,5,,5,5,5,5,C,B,A,F,A,A,A,A,A,A,,,,,,,,,,,,,,,A,A,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,A,B,B,B,B
140005526023,2014,5002704,CAMPO GRANDE,50,MS,0,,,,,,,,,25,M,1,5002704,CAMPO GRANDE,50,MS,1,2010,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5002704,CAMPO GRANDE,50,MS,0,0,0,0,199,195,203,207,,,,,.............................................,.............................................,.............................................,.............................................,0,,,,,6,0,0,0,0,0,0,G,C,E,5,D,B,A,D,A,A,D,A,A,D,A,A,D,D,D,D,A,B,5,5,,5,5,5,5,B,A,A,C,B,A,A,A,B,A,16,E,5,5,5,5,5,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,
140008439671,2014,3145208,NOVA SERRANA,31,MG,0,31034665,3145208,NOVA SERRANA,31,MG,2,1,1,17,F,1,3145208,NOVA SERRANA,31,MG,2,,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3145208,NOVA SERRANA,31,MG,1,1,1,1,199,195,205,209,476.90,541.60,523.10,370.60,AABDAEDAEBABDBDAC*DEDABDAEBCEDCDEEACBEBAEACCC,ECDDAAADDCCDABBBACADEABAADBDBECCCCABCCAACCEAA,CEDACBCBADADDACBB*BDECDABCECDCAECBDACBBECEEAD,ADEBDCDEEACAACCBBDBCCBADEDCBAAA*BAABEDBDCEACA,1,ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC,ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA,ACACDDAAECBEBCDADDDCBBCBEDBCABDEBDCDACAEBECCBCCDAB,ECBDCDADEAEADBEDBBDAEAECCBCBBCCEDDDCCECAABABD,7,120,120,120,120,0,480,B,H,G,4,A,B,B,A,A,A,A,D,A,D,A,C,A,A,D,D,B,C,4,5,,5,5,5,3,B,,,B,,,A,A,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140001153732,2014,3151800,POCOS DE CALDAS,31,MG,0,,,,,,,,,18,F,1,3151800,POCOS DE CALDAS,31,MG,1,2013,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3151800,POCOS DE CALDAS,31,MG,1,1,1,1,201,197,204,208,597.50,592.80,605.50,656.80,EEEDBBCDCDEDCACCECBABEDCEDBEBABACECBBDAEEEAEE,ADDCECBCCECACBBAAEDEEDCBBEADBCDEDEABAEBCBADCB,CECEABEADDCCDEBABEBCBECDBBCAEDDEBABBDCBDCECBC,CCCADCBACAECBDCBDCDEACDCAABEBBBAAEEBBDDCBDBEC,1,EDEADBCBDADBDCDCDABABEADECBEBCBDCBEABCDAEEDDA,ADECECBCCECAABBEBCABDBAECCEDEBDADCEDADBABAADE,ACACDDECAABDADDDCDCDABEBCBCBECACAEBDEBABEDBCDCBCBC,CECACBCABABDBDADCDAEAECBBCAEADBEDBECBDECEDDDC,7,160,120,120,160,120,680,H,G,F,2,A,B,A,D,D,A,A,A,A,A,A,B,A,A,A,A,A,C,5,5,,5,0,5,5,A,,,B,,,A,A,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140005813548,2014,3550308,SAO PAULO,35,SP,0,,,,,,,,,38,M,1,3550308,SAO PAULO,35,SP,1,2004,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3550308,SAO PAULO,35,SP,0,0,0,0,199,195,203,207,,,,,.............................................,.............................................,.............................................,.............................................,0,,,,,6,0,0,0,0,0,0,B,F,G,2,B,B,B,A,B,B,C,A,A,A,A,B,A,A,D,D,A,A,5,0,,5,0,1,1,B,A,A,B,A,A,B,B,B,B,14,B,3,0,3,3,3,B,A,A,A,B,A,B,,,,,,,,,,,,,,,,,,,,,,,
