NU_INSCRICAO;NU_ANO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;CO_MUNICIPIO_NASCIMENTO;NO_MUNICIPIO_NASCIMENTO;CO_UF_NASCIMENTO;SG_UF_NASCIMENTO;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_DISCALCULIA;IN_AUTISMO;IN_VISAO_MONOCULAR;IN_OUTRA_DEF;IN_SABATISTA;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_ESTUDA_CLASSE_HOSPITALAR;IN_SEM_RECURSO;IN_BRAILLE;IN_AMPLIADA_24;IN_AMPLIADA_18;IN_LEDOR;IN_ACESSO;IN_TRANSCRICAO;IN_LIBRAS;IN_LEITURA_LABIAL;IN_MESA_CADEIRA_RODAS;IN_MESA_CADEIRA_SEPARADA;IN_APOIO_PERNA;IN_GUIA_INTERPRETE;IN_MACA;IN_COMPUTADOR;IN_CADEIRA_ESPECIAL;IN_CADEIRA_CANHOTO;IN_CADEIRA_ACOLCHOADA;IN_PROVA_DEITADO;IN_MOBILIARIO_OBESO;IN_LAMINA_OVERLAY;IN_PROTETOR_AURICULAR;IN_MEDIDOR_GLICOSE;IN_MAQUINA_BRAILE;IN_SOROBAN;IN_MARCA_PASSO;IN_SONDA;IN_MEDICAMENTOS;IN_SALA_INDIVIDUAL;IN_SALA_ESPECIAL;IN_SALA_ACOMPANHANTE;IN_MOBILIARIO_ESPECIFICO;IN_MATERIAL_ESPECIFICO;IN_NOME_SOCIAL;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050
160005658418;2016;3304904;São Gonçalo;33;RJ;32;M;1;3;1;3304904;São Gonçalo;33;RJ;4;0;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO;33;RJ;3304904;São Gonçalo;33;RJ;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;D;C;F;2;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;B;B;B;C;G;D;0;5;5;5;5;5;5;5;5;5;3;5;5;B;A;A;B;D;A;C;C;D
160004151809;2016;4106902;Curitiba;41;PR;21;M;0;1;1;4106902;Curitiba;41;PR;1;4;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;4106902;Curitiba;41;PR;1;1;1;1;291;295;300;304;700.9;693.4;633.7;733.8;BDABBCEDCDBADDDCABDEBDAEDDDCAEABEBEDCCACD.BEE;ECEDBCDCCBEDDBAEADEDCEACABEAAEEDDAACBDADAADBA;DECEA99999AADBAABCAAAEEBCBBDAEEADAABECECEBBCDCEEBA;CBAACCEAEBBADBDEDCAEDBDAEACBAAADDBACCEEEADCEE;0;BCADBCEDCCBADBDCADBEBDBEADCCAEACDBEDBCACAEBEE;BCBCCADCCBEDDBEEADBDCECCBBECAEEDDADCDDACAADBA;DECEACCEBBDADEBABEAAEDCBCABDCEBADCEBAAECBBCBDABEBB;CBAACCEABDDCDBDDCEAECADBECEBACBDABDBEBCDADCEE;1;120;160;160;160;120;720;E;E;C;D;3;F;A;C;C;B;A;B;B;B;A;B;A;B;B;B;A;D;B;B;B;B;F;E;5;0;1;1;4;5;5;4;5;5;0;0;;A;A;A;A;A;E;A;A;A
160004298561;2016;3306305;Volta Redonda;33;RJ;36;M;0;3;1;3306305;Volta Redonda;33;RJ;1;10;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;3302007;Itaguaí;33;RJ;1;1;1;1;294;298;299;303;631.8;672.1;620.7;626.3;DEAADBCBCDDEEEEBBAADEBEEBECAADDEEDDAABCEADBCB;EDDCDDACECEDDACEBBCECDCEAADBAEBAAADEAAEDEECAB;CEDEA99999ABEBBDADDADEADAAAEBEEEEDAAAEDCAECDBBECEB;AEDABDCEDDCDDCCADCBCCACADABEBABCCBADACCBAABBA;0;EADBDCCBADBEBCEBCABDEBEEBECADDBEACACDDBCADCCA;EDDBDDACDCEDDACBBBCBCDCECADBEEBAAADECAECCBCAD;CEDEACCBEBDBABECABDADEADCEDCBEBBCEBAAEBAAECBBCBDAB;DADCCECBDECADCBACDBCEEABDDAABDBCEADDBECEBAEBC;1;120;120;140;100;80;560;B;D;C;B;5;I;A;B;D;A;A;B;A;B;A;B;A;A;D;B;A;E;A;C;B;C;H;E;5;5;3;4;4;5;5;4;5;2;2;3;5;A;A;A;A;A;A;A;A;B
160008408997;2016;1302603;Manaus;13;AM;19;F;0;3;1;1301902;Itacoatiara;13;AM;1;2;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1302603;Manaus;13;AM;1;1;1;1;293;297;300;304;457.9;522.9;500.9;450.2;ECBBEDBDEADCCCADADABDBDAECDAECDBEDDACCEEACEDA;BCEADBAADBCCCAABCCBADECBBEBAADBDCAACBADEDAEAA;99999DABBDDACDECBEAACEDADABDBBDDABDEACAECEABACBBED;CADDACAACEBDDCACADBDCEBEACCEEDBADDABACEDAECCD;1;EBEECADBCABECDDBEADCCABDEABEBCADBADDCCCEDBBCA;DCECBAAADCBBECAEDCEDDACCBDDACEDDBADBCADBCBCEE;DECEACCEBBDADEBABEAAEDCBCABDCEBADCEBAAECBBCBDABEBB;CBAACCEABDDCDBDDCEAECADBECEBACBDABDBEBCDADCEE;1;120;120;120;120;60;540;E;E;A;A;7;B;A;B;D;A;A;A;A;A;A;A;A;A;B;A;A;C;A;A;A;A;;;;;;;;5;5;5;5;5;5;5;;A;A;B;A;A;A;A;B;A
160006601299;2016;2111300;São Luís;21;MA;26;F;0;1;1;2111300;São Luís;21;MA;1;10;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;2111300;São Luís;21;MA;1;1;1;1;292;296;302;306;475.3;612.2;652.8;404.9;DEDDACAABACCBDCABCECABBCEDBCAACCDCCBDACAECECD;DECCABEDEDDEBCCCCCADADEAADEADBECEAABCABBBACEE;99999CABCEDEBBCDAACDCCCCDADCEBCADAAAEABCABDBBECADE;CAABCCDBDBEDCDBCBABDEDDBEDBDCEDBCCBEDBEDEBDDB;1;DBDCCACADBADBCABDEBEECECDDBCADCCBEBBEDBEAEACA;EEBCBCEDDBDDACCCBCADADBAADEDDADCECAECBBBADCEC;EDECACCBBEDEBBBDABCBBCCEBADCEBAAEAAEDCBCABDBABEADE;CEECDBDADEBCCEBABECEACBDABDBDDABDDECADCCEACBA;1;140;160;160;140;80;680;F;E;D;C;2;F;A;C;C;A;A;B;A;B;A;A;A;A;C;A;A;C;B;B;B;C;K;D;5;3;5;5;5;5;5;0;0;0;2;5;5;C;A;A;A;A;A;A;A;A
160004420275;2016;4316808;Santa Cruz do Sul;43;RS;16;F;0;3;1;4316808;Santa Cruz do Sul;43;RS;3;0;1;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;4316808;Santa Cruz do Sul;43;RS;1;1;1;1;294;298;301;305;572.1;604.1;583.7;431.6;EBBABACEDEDECCEEBBCDEAEEBDABCECADEDCEACEBACCA;EDDDDDBDABEDAAACBECEBDCCEAEBEEBCAEDCAABCCCCAD;EEEAE99999AAACCEBCCBAEBAACEEAEEBAEDBACEACBDCEADAAB;DEDCBACDDDEECDDAABDCCBDBBCCBBDCCABCAEBDCBACBA;0;EADBDCCBADBEBCEBCABDEBEEBECADDBEACACDDBCADCCA;EDDBDDACDCEDDACBBBCBCDCECADBEEBAAADECAECCBCAD;EECDABBECCDAAECBBCBDABBAAEEBBDCBADEBABEADCECEBCABD;CCEEBCCEBAABDDECADCEECDBCBDBECBADDACEAABDBDAD;1;160;160;160;140;80;700;E;F;D;F;4;E;A;B;D;B;B;B;B;B;B;B;A;A;C;B;B;A;A;B;B;A;;;;;;;;5;5;2;5;1;1;1;;C;D;A;A;B;D;D;A;A
160008463654;2016;3304557;Rio de Janeiro;33;RJ;18;F;0;3;1;3304557;Rio de Janeiro;33;RJ;3;0;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO;33;RJ;3304557;Rio de Janeiro;33;RJ;1;1;1;1;294;298;299;303;404.1;478.8;503.5;349.7;ACEADCBDCDCEAAECDDBBADABBCABCCDACECCADACBAEBD;DACECCDCAADADAADCCCDBDBCDBDABCBDAEBABACCCBCAC;99999DADBCBABBBCACCAAEABECBDCEBABABCCBACACDDCCBCAD;DAACCCEDCCEACBADABCDDAEDCDEEEEDBADAEDBCCEECCB;1;EADBDCCBADBEBCEBCABDEBEEBECADDBEACACDDBCADCCA;EDDBDDACDCEDDACBBBCBCDCECADBEEBAAADECAECCBCAD;CEDEACCBEBDBABECABDADEADCEDCBEBBCEBAAEBAAECBBCBDAB;DADCCECBDECADCBACDBCEEABDDAABDBCEADDBECEBAEBC;1;120;80;80;120;40;440;E;D;B;B;3;E;A;C;C;B;A;B;B;B;A;B;A;A;B;B;B;B;B;B;B;A;;;;;;;;5;5;5;5;5;5;5;;A;A;A;A;C;D;A;A;A
160005699424;2016;3303500;Nova Iguaçu;33;RJ;16;F;0;2;1;3303500;Nova Iguaçu;33;RJ;3;0;1;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;3303500;Nova Iguaçu;33;RJ;1;1;1;1;291;295;302;306;470.8;624.6;598.9;630.1;BDDCECCADDBBEBBCADDCCADAECDCADBDCBAEDCBCDACDA;BCDCCBDDEBEBDCDEACCDCEACBBEDABEADCEBDDBBAADBA;99999BCABDDECADDABEEEBCCBCBEABBADAABDABDABDEBBEAAE;CABDDBCADBBECDAEBEDBECADCEBBDACECBBEBDDBCADCA;1;BCADBCEDCCBADBDCADBEBDBEADCCAEACDBEDBCACAEBEE;BCBCCADCCBEDDBEEADBDCECCBBECAEEDDADCDDACAADBA;EDECACCBBEDEBBBDABCBBCCEBADCEBAAEAAEDCBCABDBABEADE;CEECDBDADEBCCEBABECEACBDABDBDDABDDECADCCEACBA;1;160;160;160;160;160;800;F;G;E;D;4;O;A;C;E;C;A;B;C;B;A;B;A;A;D;B;B;E;B;E;B;A;;;;;;;;5;2;0;0;0;0;5;;C;A;B;A;C;D;A;A;A
160005254543;2016;2903201;Barreiras;29;BA;19;F;0;3;1;2903201;Barreiras;29;BA;1;3;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;2903201;Barreiras;29;BA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;C;C;C;2;C;A;C;D;A;A;B;A;A;A;A;A;A;B;B;A;C;A;B;A;B;D;B;0;0;5;5;2;1;5;0;2;2;2;0;;A;A;A;A;A;A;A;A;A
160006150988;2016;1708304;Goianorte;17;TO;17;F;0;3;1;1708304;Goianorte;17;TO;2;0;2;1;0;17012970;1708304;Goianorte;17;TO;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1709302;Guaraí;17;TO;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;C;C;A;A;4;C;A;B;D;A;C;B;A;B;A;A;A;A;B;A;A;C;A;A;A;A;;;;;;;;5;5;5;5;5;5;5;;A;A;A;A;B;A;A;A;A
