NU_INSCRICAO;NU_ANO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;CO_MUNICIPIO_NASCIMENTO;NO_MUNICIPIO_NASCIMENTO;CO_UF_NASCIMENTO;SG_UF_NASCIMENTO;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_DISCALCULIA;IN_AUTISMO;IN_VISAO_MONOCULAR;IN_OUTRA_DEF;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_ESTUDA_CLASSE_HOSPITALAR;IN_SEM_RECURSO;IN_BRAILLE;IN_AMPLIADA_24;IN_AMPLIADA_18;IN_LEDOR;IN_ACESSO;IN_TRANSCRICAO;IN_LIBRAS;IN_LEITURA_LABIAL;IN_MESA_CADEIRA_RODAS;IN_MESA_CADEIRA_SEPARADA;IN_APOIO_PERNA;IN_GUIA_INTERPRETE;IN_COMPUTADOR;IN_CADEIRA_ESPECIAL;IN_CADEIRA_CANHOTO;IN_CADEIRA_ACOLCHOADA;IN_PROVA_DEITADO;IN_MOBILIARIO_OBESO;IN_LAMINA_OVERLAY;IN_PROTETOR_AURICULAR;IN_MEDIDOR_GLICOSE;IN_MAQUINA_BRAILE;IN_SOROBAN;IN_MARCA_PASSO;IN_SONDA;IN_MEDICAMENTOS;IN_SALA_INDIVIDUAL;IN_SALA_ESPECIAL;IN_SALA_ACOMPANHANTE;IN_MOBILIARIO_ESPECIFICO;IN_MATERIAL_ESPECIFICO;IN_NOME_SOCIAL;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027
170006135645;2017;2610608;Paudalho;26;PE;19;F;0;1;1;2613701;São Lourenço da Mata;26;PE;1;1;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2610608;Paudalho;26;PE;1;1;1;1;394;395;399;405;426.6;370.6;421.8;419.7;CECADADECAEECDADBDAEBDCEBEEBCEDACAECDABDCBAE.;BEAEEACECDDBEAABCECABCEDABBCCDCACDADEDDADEBCC;DEEEA99999CEBADEBCCEBBCCACEEBAEEEADBEEECBABCCEBDAC;ABCEAEACEABDECEAECDADEEAADCEABEEABDCBAADEDBCC;0;EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB;CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE;DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB;BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB;3;0;0;0;0;0;0;B;B;A;A;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;B;A;C;A;B;B;A;A
170001122611;2017;3147204;Paraguaçu;31;MG;19;M;0;1;1;3513801;Diadema;35;SP;1;1;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3101607;Alfenas;31;MG;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;H;D;F;B;3;C;A;B;C;A;A;B;A;A;A;B;A;A;B;B;A;D;A;B;B;A;A
170004418711;2017;1721000;Palmas;17;TO;42;F;2;3;1;1702703;Aurora do Tocantins;17;TO;1;11;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1721000;Palmas;17;TO;0;1;1;0;;395;399;;;404.4;372.8;;;EDBCADBDDBCACACA*DBCAECADADBDAADDBBEBCCBBEEBA;99999ECCECDDCBCCBAEABDACDBBEECDDAAEABDADDBCBCCAACD;;1;;CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE;DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB;;1;60;60;60;40;20;240;B;E;A;B;2;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;A;A
170000246304;2017;3118601;Contagem;31;MG;18;F;0;3;1;3118601;Contagem;31;MG;2;0;2;1;0;31223174;3118601;Contagem;31;MG;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3118601;Contagem;31;MG;1;1;1;1;394;397;402;405;541.5;602.8;598.3;570.4;ACCDDEDBCCBAEDBBDACBECABCBEBDEAAEBCDEACADACBB;ACBEDEDCCCEDECABAEDDBBACBDCCCEAAEDBEBBEDADABA;DDCDE99999CEBAEEBEADDDBACDBCBEADAAEABBDBADDDDBCDBE;CAEEADCEEAECDCABCBDAEBECCDBEADBABCDEEBAABDDAA;0;EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB;ECAEBCDDECADBEABDDBDBDAEBCCCCDEAEDAEBBEDABAEC;DDCDEEDBEECEBADEDEABEDBBBDBCCABAAAABCBDAEDEDDBCDAE;BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB;1;160;120;140;160;160;740;D;E;C;D;4;E;A;B;C;B;A;B;B;B;A;B;A;B;B;B;A;D;B;B;B;B;A
170001671060;2017;3118304;Conselheiro Lafaiete;31;MG;19;F;0;1;1;3118304;Conselheiro Lafaiete;31;MG;2;0;2;3;0;31193542;3118304;Conselheiro Lafaiete;31;MG;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3118304;Conselheiro Lafaiete;31;MG;0;1;1;0;;397;402;;;583.2;563.2;;;ECDEDBBCCCADECDBAEBEAADBEACDAECBEDBBBBEEADACC;DDCDE99999ADDAEEBE*CCBBBCDBAEABDEACBCADBAEEDDBCDBD;;0;;ECAEBCDDECADBEABDDBDBDAEBCCCCDEAEDAEBBEDABAEC;DDCDEEDBEECEBADEDEABEDBBBDBCCABAAAABCBDAEDEDDBCDAE;;1;120;120;140;140;80;600;H;C;F;B;2;C;A;B;B;A;B;B;B;B;A;A;A;A;B;B;B;C;A;B;B;B;A
170005164637;2017;2927408;Salvador;29;BA;30;F;0;3;1;2904902;Cachoeira;29;BA;1;10;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2927408;Salvador;29;BA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;B;A;A;2;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;A;A
170001388310;2017;2103802;Dom Pedro;21;MA;19;F;0;3;1;2103802;Dom Pedro;21;MA;1;1;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2103802;Dom Pedro;21;MA;1;1;1;1;394;398;401;405;388.6;540.7;489.3;358.6;AABCADBDDDDADCDDEABBEABEAADDDBECBEBCDDEDECBBD;DEBADDBAEB.CBDCECCADCCDDECEAEBCEEBECBDBAADCDA;99999DBAADDECCBAADDBDAEAAADDCBECAABBDEDADBBCDEAAEB;CADDDABDACBCACECBEAAABCEBCEDBDEBDBCBADABAEDEA;1;EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB;DAEBEABDBEDACDDECADBCCCAECDEECAEBDBDBBAECDAEB;DEDCDBEEDEECABAAEDDCBDEDBAEABBBDEDBBCCDAEBCAABDAED;BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB;6;0;0;0;0;0;0;B;B;A;A;5;B;A;A;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;A;A
170004989199;2017;4315602;Rio Grande;43;RS;49;M;1;1;1;4315602;Rio Grande;43;RS;1;11;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4315602;Rio Grande;43;RS;1;1;1;1;394;398;401;405;566.6;610;613.1;655.3;CBCCCECCCCCCCADECCCADDABCBECEBCEDCCBBECADDECB;EACAEEBDDABDCDDECABECECAECDCAEBECDEDBDAECDBDD;99999BEACEECABBAEDDCBDEDDAE*DACDCDBBECDBEACAABDBED;CEADCDAAECDAECBABBBEBCDCCEBCECEAEBCCEADABECBB;1;EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB;DAEBEABDBEDACDDECADBCCCAECDEECAEBDBDBBAECDAEB;DEDCDBEEDEECABAAEDDCBDEDBAEABBBDEDBBCCDAEBCAABDAED;BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB;1;120;120;140;100;20;500;B;C;A;A;3;O;A;D;C;C;A;B;A;B;B;B;A;B;D;B;B;D;A;D;B;A;D
170004505129;2017;3154606;Ribeirão das Neves;31;MG;18;F;0;3;1;3106200;Belo Horizonte;31;MG;2;0;2;1;0;31010120;3154606;Ribeirão das Neves;31;MG;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3106200;Belo Horizonte;31;MG;1;1;1;1;394;397;402;405;538.4;561.7;529.7;375.4;BCCDDEDDACBEBCDBCDBBDEEBBAEABBCCEACEDAAAADCBB;ABAECBDDCBAAABBBEABBDEECACCCAACBEDBABBCCBBAEA;99999CBEDCAEEEDADEADCABBCDBCCAAEABABBBDADDCABBCDBC;CAAEDABCCCBCBAACBCAADAEAEBECEDCACCCDEAEEEAAAA;1;EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB;ECAEBCDDECADBEABDDBDBDAEBCCCCDEAEDAEBBEDABAEC;DDCDEEDBEECEBADEDEABEDBBBDBCCABAAAABCBDAEDEDDBCDAE;BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB;1;120;100;80;100;100;500;B;E;F;F;4;C;A;B;C;A;A;B;A;A;A;A;A;A;B;B;A;C;A;B;A;B;A
170003105625;2017;3301009;Campos dos Goytacazes;33;RJ;22;M;0;3;1;3301009;Campos dos Goytacazes;33;RJ;1;4;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3301009;Campos dos Goytacazes;33;RJ;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;H;G;E;D;4;J;B;C;D;C;A;B;B;B;A;B;A;B;D;B;B;E;B;C;B;A;D
